Data;Temperatura;Umidade Relativa;Pressao
01/09/2023;23.5;59;888.4
02/09/2023;21.6;67;888.9
03/09/2023;19.9;75;889.1
04/09/2023;19.6;78;889.0
05/09/2023;20.0;79;888.5
06/09/2023;20.0;77;888.0
07/09/2023;20.0;80;887.8
08/09/2023;19.2;82;887.9
09/09/2023;21.5;71;887.7
10/09/2023;21.4;71;888.4
11/09/2023;21.0;73;889.3
12/09/2023;22.0;70;889.9
13/09/2023;23.4;64;890.5
14/09/2023;25.4;53;890.6
15/09/2023;27.0;48;890.3
16/09/2023;28.2;44;889.6
17/09/2023;29.2;41;888.7
18/09/2023;28.5;38;887.8
19/09/2023;30.1;36;886.9
20/09/2023;29.2;36;886.5
21/09/2023;29.4;35;886.4
22/09/2023;27.8;40;886.8
23/09/2023;26.2;45;887.2
24/09/2023;24.9;48;887.8
25/09/2023;23.3;54;888.7
26/09/2023;22.1;57;889.2
27/09/2023;20.7;64;889.4
28/09/2023;21.4;59;889.3
29/09/2023;20.4;63;889.0
30/09/2023;20.4;70;888.4
01/10/2023;20.0;72;888.4
02/10/2023;18.9;72;888.3
03/10/2023;18.3;75;888.0
04/10/2023;18.0;79;888.4
05/10/2023;19.0;80;889.0
06/10/2023;24.2;53;889.9
07/10/2023;26.0;48;890.1
08/10/2023;27.1;42;890.3
09/10/2023;28.4;38;889.9
10/10/2023;28.3;36;889.5
11/10/2023;30.1;32;888.8
12/10/2023;29.5;32;888.0
13/10/2023;31.0;31;887.5
14/10/2023;30.0;32;887.4
15/10/2023;28.9;34;887.7
16/10/2023;27.3;46;887.8
17/10/2023;26.7;42;887.9
